,BMI,SBP,DBP,TC,TG,LDL,HDL,FG,WC,U_BP,IFG,U_TG,D_HDL,MetS
Antidiabetic Medication,0.1028156893215537,0.08524659732302814,0.0425650562130016,-0.23098326760472698,0.07274882051100687,-0.22073430455853205,-0.11222774697960008,0.3136699510367586,0.08778438087440689,0.15509917091086683,0.3074823299269679,0.22535869012937912,0.06481033293154533,0.2565538578209066
Hyperlipidemia,0.16671940068178573,0.1305861214956136,0.10030343245740729,-0.22309128630117417,0.1418047780078988,-0.22151204341224456,-0.11049617578629803,0.23234724837754342,0.13217724000629016,0.2555213886323782,0.21517948838372972,0.6180418539229889,0.03823836961099742,0.36256514123670364
Statin Medication,0.14710918939572634,0.11274038196438531,0.07358182574840463,-0.34957562155302474,0.08482500668856645,-0.34865996426346946,-0.07863810865801227,0.2246924208745963,0.12002396799691474,0.2650875294661038,0.21142479383016047,0.6673614203337133,0.022352094186966508,0.3787072319157048
Angina/Myocardial Infarction,0.045816544433325,0.03881502541364847,0.0,-0.1234895311741334,0.013890263869784534,-0.1172676931035018,-0.049502488653042825,0.07701972197361755,0.02801458323135983,0.09570042505657816,0.08337487713471453,0.11831235188359733,0.0,0.09648009028433516
Stroke,0.0,0.025502588987576597,0.013933386504572919,-0.04100306206071131,0.0,-0.03788385992131622,-0.016667612679906327,0.01785738703590794,0.0,0.041801204140650944,0.019653211810833758,0.041333230122288914,0.0,0.0361967207798787
Chronic kidney disease (eGFR<60),0.04918606614501369,0.031153116165968324,0.014566784818810312,-0.05865450592135977,0.042807224459934214,-0.05371574748219359,-0.05674287054849116,0.06928638353151503,0.03414923864597777,0.09454530496180209,0.06417318362682847,0.07662648300468122,0.017708945626485957,0.08552724850210365
Systolic blood pressure (mmHg),0.4045955725314584,0.9999999999999999,0.7572113086030476,0.03521514496990761,0.2765742278980397,0.064363350188528,-0.19729176382065403,0.31449291182784345,0.28070480933748115,0.6301745673324369,0.26530611574600044,0.2198500094355602,0.06550666001813468,0.36414638003811445
Diastolic Blood Pressure (mmHg),0.4109085582254384,0.7572113086030475,1.0,0.07746322593828071,0.32242513251911725,0.11721249350797189,-0.22433026478640436,0.3233693118092664,0.2689192597357182,0.609776934569871,0.2759883052518579,0.2181029123199866,0.04796936355496622,0.34842344241926543
Total Cholesterol (mg/dL),0.0,0.03521514496990761,0.0774632259382807,1.0,0.20482241060252296,0.8891215288815085,0.17289534599541964,-0.029204457537293053,0.0,-0.07115361444410773,-0.03682933459711862,-0.11374345725341682,-0.10593068235623644,-0.09948945392680782
Triglycerides (mg/dL),0.46606706378376667,0.2765742278980397,0.3224251325191173,0.204822410602523,1.0,0.21739542528691305,-0.5338440496526906,0.40816392124965134,0.33440671018525514,0.25243074799395643,0.32530560101496897,0.5083639505317152,0.30199601625006023,0.4541700175155419
LDL-C (mg/dL),0.1252774713080456,0.064363350188528,0.11721249350797187,0.8891215288815086,0.21739542528691302,1.0,-0.10922128374462395,0.0,0.07509177852075782,-0.04785552893424294,-0.01327910011072393,-0.1423646172400451,0.0,-0.07022705128213322
HDL-C (mg/dL),-0.48279110992072743,-0.19729176382065403,-0.22433026478640436,0.17289534599541967,-0.5338440496526906,-0.10922128374462393,1.0,-0.27715817226975886,-0.3061086720364302,-0.18941072053700356,-0.23118792224489915,-0.33247123950393637,-0.5797638418696061,-0.39648504938272466
