Food,Community,Aggregated_Group
Rice Portion Size,0,Unknown
Salty Food Consumption,0,Unknown
Additional Salt Use,0,Unknown
Meal Portion Size,0,Unknown
Water Intake,1,Unknown
Meal Frequency,1,Unknown
Fruits,1,Fruits
Vegetables,1,Vegetables
Dairy Products,1,Unknown
Protein Foods,1,Unknown
Grain Products,1,Unknown
Fried Foods,2,Unknown
Snacking Frequency,2,Unknown
Sugar-Sweetened Beverages,2,Unknown
Coffee Consumption,2,Unknown
Sweet Food Consumption,2,Unknown
Processed Foods,2,Unknown
High Fat Meat,2,Unknown
Eating Out Frequency,2,Unknown
