Food_Group,GGM_Degree,GGM_Betweenness,Poor_Diet_Degree,Poor_Diet_Betweenness,NonPoor_Diet_Degree,NonPoor_Diet_Betweenness,Combined_Importance
High Fat Meat,1.0,0.00808080808080808,0.5454545454545454,0.01818181818181818,0.2727272727272727,0.1424242424242424,0.39080808080808077
Protein Foods,1.0,0.00808080808080808,0.0,0.0,0.6363636363636364,0.33939393939393936,0.3814141414141414
Processed Foods,1.0,0.00808080808080808,0.5454545454545454,0.01818181818181818,0.2727272727272727,0.03636363636363636,0.3802020202020202
Sugar-Sweetened Beverages,0.9090909090909092,0.00404040404040404,0.5454545454545454,0.01818181818181818,0.2727272727272727,0.07575757575757575,0.3604040404040404
Dairy Products,0.8181818181818182,0.00404040404040404,0.4545454545454546,0.10909090909090909,0.36363636363636365,0.0,0.33919191919191927
Salty Food Consumption,1.0,0.00808080808080808,0.4545454545454546,0.0,0.09090909090909091,0.0,0.3338383838383838
Vegetables,1.0,0.00808080808080808,0.0,0.0,0.4545454545454546,0.02727272727272727,0.32292929292929295
Fried Foods,0.8181818181818182,0.00404040404040404,0.5454545454545454,0.01818181818181818,0.18181818181818182,0.0,0.3164646464646465
Additional Salt Use,0.9090909090909092,0.00404040404040404,0.4545454545454546,0.0,0.09090909090909091,0.0,0.3101010101010101
Fruits,0.9090909090909092,0.00404040404040404,0.09090909090909091,0.0,0.36363636363636365,0.0,0.2964646464646465
Sweet Food Consumption,1.0,0.00808080808080808,0.0,0.0,0.2727272727272727,0.01515151515151515,0.29444444444444445
Grain Products,0.9090909090909092,0.00404040404040404,0.0,0.0,0.36363636363636365,0.0,0.2828282828282829
