Food_Group,MetS_Pos_Mean,MetS_Pos_Std,MetS_Neg_Mean,MetS_Neg_Std,Mean_Difference,U_Statistic,P_value,Significant
Salty Food Consumption,1.7935679407307628,0.6551753054912478,1.66189111747851,0.6415010923885602,0.13167682325225272,56173912.5,1.0503905256968269e-41,Yes
Sweet Food Consumption,1.9661559185047988,0.5639019469699269,2.082100461961289,0.5688158907995647,-0.11594454345649008,45842548.0,1.5497751690886078e-41,Yes
High Fat Meat,1.536622326991076,0.6520667771213593,1.47687269750307,0.6283787340786202,0.059749629488005995,53254988.5,1.3420968330448495e-10,Yes
Dairy Products,1.8349890553965313,0.8348151579704324,1.8926963335477458,0.8355443570721391,-0.05770727815121446,48826595.0,2.435243658408822e-06,Yes
Additional Salt Use,1.513386091934669,0.5949271639135969,1.4748260335652885,0.5880094584636217,0.03856005836938059,52542669.5,4.928941377131937e-06,Yes
Sugar-Sweetened Beverages,1.4302071055733288,0.7404745782860697,1.3982808022922637,0.7220142980063335,0.03192630328106505,51901141.5,0.0013533990894210488,Yes
Grain Products,2.128641185384745,0.6767711733011837,2.108882521489971,0.6375786040285164,0.019758663894773765,51730157.5,0.01584320793779674,Yes
Processed Foods,1.4482236066677892,0.6538778229282108,1.4678673761768317,0.6582625155429688,-0.019643769509042563,49944703.0,0.026806062099872824,Yes
Fruits,2.0599427513049333,0.7855914892390814,2.072159522834922,0.7793742860197991,-0.01221677152998879,50365801.5,0.31641792306615946,No
Protein Foods,2.994948644552955,0.7899938882284432,2.9890649669609965,0.7906232329133278,0.005883677591958403,50992416.5,0.6058113648193152,No
Vegetables,2.7438962788348205,0.8896192471323143,2.7449856733524354,0.8974584817154063,-0.0010893945176149167,50637544.0,0.7300059643657362,No
Fried Foods,1.3796935511028792,0.6085158333281744,1.3750657856265716,0.6008925160521112,0.00462776547630761,50892850.5,0.7566901313382786,No
