Food,Direct_Effect,Degree_Centrality,Betweenness_Centrality,Indirect_Effect,Combined_Score
Protein Foods,0.01568842652653606,1.0,0.009898989898989897,0.591071448405415,0.5022129810649585
Vegetables,0.019163964575106968,1.0,0.009898989898989897,0.6117921726100674,0.49807758117604517
Grain Products,0.01053039859336418,0.9090909090909092,0.005858585858585857,0.35406036516376316,0.4866339536929536
High Fat Meat,0.07659551320678717,1.0,0.009898989898989897,0.6231471983433514,0.4824456870083692
Salty Food Consumption,0.08633770025798396,0.9090909090909092,0.00808080808080808,0.44236071215605277,0.45432892041703277
Sweet Food Consumption,0.09933952492349803,0.9090909090909092,0.00808080808080808,0.47985510519788105,0.44523005358921086
Processed Foods,0.04050079583798131,1.0,0.009898989898989897,1.0,0.43113754573379204
Fruits,0.04857195873888108,0.9090909090909092,0.005858585858585857,0.6476130202532002,0.4307424406075744
Additional Salt Use,0.02266208104553983,0.9090909090909092,0.005858585858585857,0.7210998914856994,0.425279727080284
Dairy Products,0.051052230997248704,0.8181818181818182,0.005858585858585857,0.4034798762495055,0.41445868525322105
Sugar-Sweetened Beverages,0.049502279783527586,0.9090909090909092,0.005858585858585857,0.7801909335927629,0.4094116106165191
Fried Foods,0.02788830784326026,0.8181818181818182,0.005858585858585857,0.8480199924923992,0.3492619494416417
