Group,Sex,Age,MetS,N,Nodes,Edges,Density,Hub1,Hub1_Degree,Hub2,Hub2_Degree,Hub3,Hub3_Degree
남성_청년층(19-39세)_MetS(+),남성,청년층(19-39세),MetS(+),516,12,20,0.30303030303030304,Fried Foods,0.6363636363636364,Processed Foods,0.6363636363636364,Additional Salt Use,0.6363636363636364
남성_청년층(19-39세)_MetS(-),남성,청년층(19-39세),MetS(-),1963,12,20,0.30303030303030304,Additional Salt Use,0.6363636363636364,Grain Products,0.5454545454545454,Fried Foods,0.5454545454545454
남성_중년층(40-59세)_MetS(+),남성,중년층(40-59세),MetS(+),2938,12,20,0.30303030303030304,Additional Salt Use,0.6363636363636364,Fried Foods,0.5454545454545454,High Fat Meat,0.5454545454545454
남성_중년층(40-59세)_MetS(-),남성,중년층(40-59세),MetS(-),4737,12,20,0.30303030303030304,Fried Foods,0.5454545454545454,High Fat Meat,0.5454545454545454,Processed Foods,0.5454545454545454
남성_장년층(60-74세)_MetS(+),남성,장년층(60-74세),MetS(+),971,12,20,0.30303030303030304,Fried Foods,0.6363636363636364,High Fat Meat,0.5454545454545454,Processed Foods,0.5454545454545454
남성_장년층(60-74세)_MetS(-),남성,장년층(60-74세),MetS(-),1169,12,20,0.30303030303030304,Fried Foods,0.5454545454545454,High Fat Meat,0.5454545454545454,Processed Foods,0.5454545454545454
여성_청년층(19-39세)_MetS(-),여성,청년층(19-39세),MetS(-),2519,12,20,0.30303030303030304,Fried Foods,0.5454545454545454,High Fat Meat,0.5454545454545454,Processed Foods,0.5454545454545454
여성_중년층(40-59세)_MetS(+),여성,중년층(40-59세),MetS(+),758,12,20,0.30303030303030304,High Fat Meat,0.6363636363636364,Fried Foods,0.5454545454545454,Sugar-Sweetened Beverages,0.5454545454545454
여성_중년층(40-59세)_MetS(-),여성,중년층(40-59세),MetS(-),5629,12,20,0.30303030303030304,Fried Foods,0.5454545454545454,High Fat Meat,0.5454545454545454,Sugar-Sweetened Beverages,0.5454545454545454
여성_장년층(60-74세)_MetS(+),여성,장년층(60-74세),MetS(+),680,12,20,0.30303030303030304,Fried Foods,0.6363636363636364,High Fat Meat,0.5454545454545454,Processed Foods,0.5454545454545454
여성_장년층(60-74세)_MetS(-),여성,장년층(60-74세),MetS(-),1084,12,20,0.30303030303030304,Fried Foods,0.5454545454545454,High Fat Meat,0.5454545454545454,Processed Foods,0.5454545454545454
