Food,Food_Category,Highest_Risk_Group,Highest_Risk_Score,Lowest_Risk_Group,Lowest_Risk_Score,Risk_Ratio,Avg_Risk_MetS_Pos,Avg_Risk_MetS_Neg,MetS_Risk_Difference
Grain Products,Healthy,남성_청년층(19-39세)_MetS(-),0.48947687179373267,여성_장년층(60-74세)_MetS(+),0.22968251510991922,2.1311020194962755,0.31832371403180704,0.39159511924850626,-0.07327140521669923
Sweet Food Consumption,Healthy,여성_중년층(40-59세)_MetS(+),0.5689512935790186,남성_청년층(19-39세)_MetS(+),0.2936858382953999,1.9372786133689794,0.47695530568517713,0.44535491006273714,0.03160039562243999
Sugar-Sweetened Beverages,Unhealthy,여성_중년층(40-59세)_MetS(+),0.5632802416925402,여성_장년층(60-74세)_MetS(+),0.31059450746205214,1.8135550634660234,0.45114220876591105,0.4433411203407232,0.007801088425187841
Protein Foods,Healthy,여성_중년층(40-59세)_MetS(-),0.6098629922810443,남성_중년층(40-59세)_MetS(+),0.33888859710980834,1.799597264358333,0.4793959740241739,0.5598843467253355,-0.0804883727011616
Additional Salt Use,Unhealthy,여성_장년층(60-74세)_MetS(-),0.568307038042456,여성_장년층(60-74세)_MetS(+),0.32095064069196055,1.7706991854485847,0.40120666109449826,0.46613470113132616,-0.0649280400368279
Vegetables,Healthy,남성_청년층(19-39세)_MetS(-),0.614444130741105,여성_장년층(60-74세)_MetS(+),0.358572515970501,1.7135840126454478,0.46710498082442786,0.5487463624255013,-0.08164138160107348
Dairy Products,Healthy,남성_장년층(60-74세)_MetS(+),0.4394068815386619,여성_중년층(40-59세)_MetS(+),0.2684828116244797,1.6366294694248418,0.36080491106772894,0.37041126764519133,-0.009606356577462394
Fruits,Healthy,남성_장년층(60-74세)_MetS(+),0.5275661780923666,남성_중년층(40-59세)_MetS(+),0.3371048317119715,1.564991446171643,0.4244981032340613,0.4577346857634114,-0.033236582529350134
High Fat Meat,Unhealthy,여성_중년층(40-59세)_MetS(+),0.5329790344673146,남성_장년층(60-74세)_MetS(+),0.3484074137276235,1.5297580173881855,0.42150934475783775,0.4586609777283761,-0.03715163297053836
Salty Food Consumption,Unhealthy,여성_장년층(60-74세)_MetS(-),0.5907887406917368,여성_중년층(40-59세)_MetS(+),0.39331140752127003,1.5020890047787065,0.44883883555380316,0.5229389997555096,-0.07410016420170645
Fried Foods,Unhealthy,남성_중년층(40-59세)_MetS(+),0.538798229136189,남성_장년층(60-74세)_MetS(-),0.3982086123172289,1.3530551888389615,0.49205385226504406,0.4648925883263783,0.027161263938665747
Processed Foods,Unhealthy,남성_중년층(40-59세)_MetS(-),0.6141458343160655,남성_장년층(60-74세)_MetS(-),0.4955851527885403,1.2392337237312545,0.5475889426133668,0.5551433047082671,-0.0075543620949003465
