Food_Group,MetS_Component,Correlation,P_value,Significant
Grain Products,Waist circumference (cm),-0.003573501628674515,0.587548687675044,No
Grain Products,Systolic blood pressure (mmHg),0.015257039925070612,0.020565642704801892,Yes
Grain Products,Diastolic Blood Pressure (mmHg),0.004638053187684867,0.48144985892692493,No
Grain Products,Triglycerides (mg/dL),-0.005758831264983647,0.38206981607017976,No
Grain Products,HDL-C (mg/dL),-0.028571184105363696,1.4414470358292155e-05,Yes
Grain Products,Fasting glucose (mg/dL),0.02342456696040726,0.00037669561507067774,Yes
Protein Foods,Waist circumference (cm),0.04179023139793352,2.2136027400065923e-10,Yes
Protein Foods,Systolic blood pressure (mmHg),0.007066174964853489,0.2834842268272469,No
Protein Foods,Diastolic Blood Pressure (mmHg),-0.004479988166276016,0.4965165487349301,No
Protein Foods,Triglycerides (mg/dL),-0.012255891602308043,0.06284557157988932,No
Protein Foods,HDL-C (mg/dL),0.00837121833882224,0.20386567469882877,No
Protein Foods,Fasting glucose (mg/dL),0.012849846501309228,0.05112319127372628,No
Vegetables,Waist circumference (cm),-0.010617874890756001,0.1070407201920546,No
Vegetables,Systolic blood pressure (mmHg),0.016356487607513605,0.01303646349015004,Yes
Vegetables,Diastolic Blood Pressure (mmHg),-0.0023034095790648306,0.7266280380817112,No
Vegetables,Triglycerides (mg/dL),-0.04961756991639717,4.859070607556647e-14,Yes
Vegetables,HDL-C (mg/dL),0.013227051801923318,0.04467473505008004,Yes
Vegetables,Fasting glucose (mg/dL),0.016924480881803237,0.01019924053227784,Yes
Dairy Products,Waist circumference (cm),-0.049213804537232494,7.764310995360777e-14,Yes
Dairy Products,Systolic blood pressure (mmHg),-0.03431502335057601,1.8893637620650357e-07,Yes
Dairy Products,Diastolic Blood Pressure (mmHg),-0.06025863604387656,5.464014513421983e-20,Yes
Dairy Products,Triglycerides (mg/dL),-0.08289890732558695,2.0023149291879546e-36,Yes
Dairy Products,HDL-C (mg/dL),0.04733219188220429,6.567008224066332e-13,Yes
Dairy Products,Fasting glucose (mg/dL),-0.02857478372897148,1.4378671378923378e-05,Yes
Fruits,Waist circumference (cm),-0.0887957527620755,1.4771552482152945e-41,Yes
Fruits,Systolic blood pressure (mmHg),-0.006031916491613928,0.3599086320945246,No
Fruits,Diastolic Blood Pressure (mmHg),-0.048074721446336455,2.8551975988978366e-13,Yes
Fruits,Triglycerides (mg/dL),-0.09051077926385935,4.0770913772078146e-43,Yes
Fruits,HDL-C (mg/dL),0.03652469480866304,2.929338864428825e-08,Yes
Fruits,Fasting glucose (mg/dL),0.00944662373052015,0.15161482778111343,No
Fried Foods,Waist circumference (cm),0.07002028432983637,1.9243545758057943e-26,Yes
