Group,Sex,Age_Group,MetS_Status,N_Samples,N_Edges,Density,Alpha,Hub_1_Name,Hub_1_Degree,Hub_2_Name,Hub_2_Degree,Hub_3_Name,Hub_3_Degree
남성_청년층(19-39세)_MetS(+),남성,청년층(19-39세),MetS(+),516,11,0.16666666666666666,0.034333200182819934,Protein Foods,0.2727272727272727,High Fat Meat,0.2727272727272727,Processed Foods,0.2727272727272727
남성_청년층(19-39세)_MetS(-),남성,청년층(19-39세),MetS(-),1963,10,0.15151515151515152,0.01,Processed Foods,0.2727272727272727,Protein Foods,0.18181818181818182,Vegetables,0.18181818181818182
남성_중년층(40-59세)_MetS(+),남성,중년층(40-59세),MetS(+),2938,14,0.21212121212121213,0.01,Processed Foods,0.36363636363636365,Protein Foods,0.2727272727272727,Fruits,0.2727272727272727
남성_중년층(40-59세)_MetS(-),남성,중년층(40-59세),MetS(-),4737,14,0.21212121212121213,0.01,Processed Foods,0.36363636363636365,Protein Foods,0.2727272727272727,Fried Foods,0.2727272727272727
남성_장년층(60-74세)_MetS(+),남성,장년층(60-74세),MetS(+),971,10,0.15151515151515152,0.016378937069540637,Processed Foods,0.2727272727272727,Protein Foods,0.18181818181818182,Vegetables,0.18181818181818182
남성_장년층(60-74세)_MetS(-),남성,장년층(60-74세),MetS(-),1169,12,0.18181818181818182,0.016378937069540637,Processed Foods,0.36363636363636365,Protein Foods,0.2727272727272727,High Fat Meat,0.2727272727272727
여성_청년층(19-39세)_MetS(-),여성,청년층(19-39세),MetS(-),2519,13,0.19696969696969696,0.01,Processed Foods,0.36363636363636365,Protein Foods,0.2727272727272727,High Fat Meat,0.2727272727272727
여성_중년층(40-59세)_MetS(+),여성,중년층(40-59세),MetS(+),758,14,0.21212121212121213,0.020961799924531267,Fried Foods,0.36363636363636365,Processed Foods,0.36363636363636365,High Fat Meat,0.2727272727272727
여성_중년층(40-59세)_MetS(-),여성,중년층(40-59세),MetS(-),5629,12,0.18181818181818182,0.01,Processed Foods,0.36363636363636365,Protein Foods,0.2727272727272727,High Fat Meat,0.2727272727272727
여성_장년층(60-74세)_MetS(+),여성,장년층(60-74세),MetS(+),680,14,0.21212121212121213,0.02682695795279726,Protein Foods,0.36363636363636365,Fried Foods,0.2727272727272727,High Fat Meat,0.2727272727272727
여성_장년층(60-74세)_MetS(-),여성,장년층(60-74세),MetS(-),1084,10,0.15151515151515152,0.01279802213997954,Fried Foods,0.2727272727272727,Processed Foods,0.2727272727272727,Protein Foods,0.18181818181818182
