,Grain Products,Protein Foods,Vegetables,Dairy Products,Fruits,Fried Foods,High Fat Meat,Processed Foods,Sugar-Sweetened Beverages,Additional Salt Use,Salty Food Consumption,Sweet Food Consumption
Grain Products,1.0,0.17657203698082957,0.05727256493302647,-0.04130993509325314,0.04792483769983236,-0.0020429193967676845,-0.016332732661813693,-0.0,-0.03444307217673344,-0.0231778155398414,0.020140189533160206,0.0
Protein Foods,0.17657203698082957,1.0,0.33603071047642497,0.07881414012748524,0.04908479680467232,0.0013598895991467168,0.0567214381715773,-0.010397980335664221,0.0,0.0,-0.0,0.036789739009654425
Vegetables,0.05727256493302647,0.33603071047642497,1.0,0.06394526880443109,0.14579897680236945,0.058569644438879506,-0.010498656991780474,-0.039063724527583735,-0.033162283274191726,-0.0,-0.0,-0.050851499203698775
Dairy Products,-0.04130993509325314,0.07881414012748524,0.06394526880443109,1.0,0.12270657107725023,0.05078125409066078,-0.0001382989100752664,-0.04265274543124961,0.02506924365257751,-0.056373004295158596,-0.05896334549482422,0.09335275157674712
Fruits,0.04792483769983236,0.04908479680467232,0.14579897680236945,0.12270657107725023,1.0,0.007829846958548827,-0.08007333452536286,-0.023189520091997474,0.0,-0.025443482100434973,-0.08068815341475134,0.060538048397611
Fried Foods,-0.0020429193967676845,0.0013598895991467168,0.058569644438879506,0.05078125409066078,0.007829846958548827,1.0,0.2308931411309851,0.23200143357250907,0.05166450005029549,0.051025907008495214,0.009215261416282435,0.092784240518758
High Fat Meat,-0.016332732661813693,0.0567214381715773,-0.010498656991780474,-0.0001382989100752664,-0.08007333452536286,0.2308931411309851,1.0,0.08945833144879456,0.09866979603504744,-0.011358194074026069,0.035684863202246536,-0.0
Processed Foods,-0.0,-0.010397980335664221,-0.039063724527583735,-0.04265274543124961,-0.023189520091997474,0.23200143357250907,0.08945833144879456,1.0,0.1746961995028193,0.04330334939718474,0.054955455879927874,0.14555791973607687
Sugar-Sweetened Beverages,-0.03444307217673344,0.0,-0.033162283274191726,0.02506924365257751,0.0,0.05166450005029549,0.09866979603504744,0.1746961995028193,1.0,0.049274792233983594,0.008866012291086568,0.18333357712161286
Additional Salt Use,-0.0231778155398414,0.0,-0.0,-0.056373004295158596,-0.025443482100434973,0.051025907008495214,-0.011358194074026069,0.04330334939718474,0.049274792233983594,1.0,0.38058036670898204,0.07149765990039687
Salty Food Consumption,0.020140189533160206,-0.0,-0.0,-0.05896334549482422,-0.08068815341475134,0.009215261416282435,0.035684863202246536,0.054955455879927874,0.008866012291086568,0.38058036670898204,1.0,0.05871273711718241
Sweet Food Consumption,0.0,0.036789739009654425,-0.050851499203698775,0.09335275157674712,0.060538048397611,0.092784240518758,-0.0,0.14555791973607687,0.18333357712161286,0.07149765990039687,0.05871273711718241,1.0
