,Grain Products,Protein Foods,Vegetables,Dairy Products,Fruits,Fried Foods,High Fat Meat,Processed Foods,Sugar-Sweetened Beverages,Additional Salt Use,Salty Food Consumption,Sweet Food Consumption
Grain Products,1.0,0.21244684219974208,0.07192281320802733,-0.01956195237430017,-0.0,-0.009616325863962482,-0.019902597390278585,-0.011418207133074752,-0.031551060413705444,-0.04875296886404337,0.02715686715429528,-0.0
Protein Foods,0.21244684219974208,1.0,0.34937188596216373,0.07481938638083128,0.08458539035375083,0.03620154248329895,0.14854286075350484,-0.0,0.0,0.020795887301698814,-0.008021970072604268,-0.0
Vegetables,0.07192281320802733,0.34937188596216373,1.0,0.002633324032810219,0.10227658641418164,0.0,0.0,-0.045409742105255446,0.0,-0.0,-0.05340458705139275,-0.08477123517223262
Dairy Products,-0.01956195237430017,0.07481938638083128,0.002633324032810219,1.0,0.17035099870902276,0.004378488732036688,0.0,0.019178814129025425,0.008978200161177374,0.0,-0.048922055847253954,0.07100785053413614
Fruits,-0.0,0.08458539035375083,0.10227658641418164,0.17035099870902276,1.0,-0.0,-0.03320405930954936,-0.018361172362562083,-0.006397913743466425,-0.01283295277892887,-0.07517551899882616,0.05690604056298857
Fried Foods,-0.009616325863962482,0.03620154248329895,0.0,0.004378488732036688,-0.0,1.0,0.2078578707763817,0.16662299963454003,0.07646622592327594,0.027705332068422246,-0.0,0.060923054491501975
High Fat Meat,-0.019902597390278585,0.14854286075350484,0.0,0.0,-0.03320405930954936,0.2078578707763817,1.0,0.16757394660003785,0.07551906331491649,0.0,0.06839424396069463,-0.0
Processed Foods,-0.011418207133074752,-0.0,-0.045409742105255446,0.019178814129025425,-0.018361172362562083,0.16662299963454003,0.16757394660003785,1.0,0.20550545667916628,0.0,0.046716366849966426,0.14380164749206417
Sugar-Sweetened Beverages,-0.031551060413705444,0.0,0.0,0.008978200161177374,-0.006397913743466425,0.07646622592327594,0.07551906331491649,0.20550545667916628,1.0,0.04484556512589407,0.08755335325092815,0.15778270720103876
Additional Salt Use,-0.04875296886404337,0.020795887301698814,-0.0,0.0,-0.01283295277892887,0.027705332068422246,0.0,0.0,0.04484556512589407,1.0,0.35305648032669135,0.09023417384787463
Salty Food Consumption,0.02715686715429528,-0.008021970072604268,-0.05340458705139275,-0.048922055847253954,-0.07517551899882616,-0.0,0.06839424396069463,0.046716366849966426,0.08755335325092815,0.35305648032669135,1.0,0.0
Sweet Food Consumption,-0.0,-0.0,-0.08477123517223262,0.07100785053413614,0.05690604056298857,0.060923054491501975,-0.0,0.14380164749206417,0.15778270720103876,0.09023417384787463,0.0,1.0
