,Grain Products,Protein Foods,Vegetables,Dairy Products,Fruits,Fried Foods,High Fat Meat,Processed Foods,Sugar-Sweetened Beverages,Additional Salt Use,Salty Food Consumption,Sweet Food Consumption
Grain Products,1.0,0.23983414030167471,0.0643246241060002,-0.002052539433567849,0.026503287624879388,-0.0,-0.015551803968490163,-0.0,0.005549372658172249,-0.05943083306382209,0.007281678266182209,0.03448980304319322
Protein Foods,0.23983414030167471,1.0,0.3976385856160085,0.0360352336036014,0.005678773727062772,0.0655478116839265,0.12997397974378908,-0.000569260446071298,0.0032007956465423234,-0.0,-0.0,0.0
Vegetables,0.0643246241060002,0.3976385856160085,1.0,0.05882113571863255,0.13390383710328016,0.04757944212005792,0.0,-0.033599098510342755,-0.061259221543454784,-0.024648555315166385,-0.0,-0.04427847420421995
Dairy Products,-0.002052539433567849,0.0360352336036014,0.05882113571863255,1.0,0.1901770532912778,0.04234052171201258,0.0029920410313282525,0.0,0.04188473291739323,0.00512758064852512,-0.06294155877836669,0.042204675816321445
Fruits,0.026503287624879388,0.005678773727062772,0.13390383710328016,0.1901770532912778,1.0,0.008501511622619902,-0.009046250274121315,-0.07664938204632314,0.0,-0.0,-0.03627626864422767,0.1310139255196558
Fried Foods,-0.0,0.0655478116839265,0.04757944212005792,0.04234052171201258,0.008501511622619902,1.0,0.26055421397509604,0.19391569914365028,0.11909172276416914,0.0,0.028568496244198098,0.07531240642304148
High Fat Meat,-0.015551803968490163,0.12997397974378908,0.0,0.0029920410313282525,-0.009046250274121315,0.26055421397509604,1.0,0.1345340994950707,0.05224150935967622,0.02237299533032152,0.06105504093373233,-0.0
Processed Foods,-0.0,-0.000569260446071298,-0.033599098510342755,0.0,-0.07664938204632314,0.19391569914365028,0.1345340994950707,1.0,0.19039939105264195,0.02047046857376995,0.07168010220216456,0.1457902753169696
Sugar-Sweetened Beverages,0.005549372658172249,0.0032007956465423234,-0.061259221543454784,0.04188473291739323,0.0,0.11909172276416914,0.05224150935967622,0.19039939105264195,1.0,0.04859273101830463,0.046794443291736994,0.21367263665391723
Additional Salt Use,-0.05943083306382209,-0.0,-0.024648555315166385,0.00512758064852512,-0.0,0.0,0.02237299533032152,0.02047046857376995,0.04859273101830463,1.0,0.31156110453489666,0.06891858764560013
Salty Food Consumption,0.007281678266182209,-0.0,-0.0,-0.06294155877836669,-0.03627626864422767,0.028568496244198098,0.06105504093373233,0.07168010220216456,0.046794443291736994,0.31156110453489666,1.0,-0.0
Sweet Food Consumption,0.03448980304319322,0.0,-0.04427847420421995,0.042204675816321445,0.1310139255196558,0.07531240642304148,-0.0,0.1457902753169696,0.21367263665391723,0.06891858764560013,-0.0,1.0
