,Grain Products,Protein Foods,Vegetables,Dairy Products,Fruits,Fried Foods,High Fat Meat,Processed Foods,Sugar-Sweetened Beverages,Additional Salt Use,Salty Food Consumption,Sweet Food Consumption
Grain Products,1.0,0.22986458859605144,0.05817222506700802,0.0,0.02666071694986321,0.0,-0.0485987971130592,0.003077256132714012,-0.0051810292904936155,-0.030779754254183094,0.017611045853362282,0.03155041042006575
Protein Foods,0.22986458859605144,1.0,0.43753197768194557,0.03341521455798999,0.032673706350141614,0.06046729903665749,0.12068555014879624,0.002396434544494276,-0.0,-0.0029674495430557224,-0.018191346001018356,0.0028634567615823353
Vegetables,0.05817222506700802,0.43753197768194557,1.0,0.05418988471838651,0.13018000349037437,0.03136975914812933,-0.0,-0.0625684022260549,-0.04343951665400376,-0.03721084707499678,-0.042527721808099106,-0.016334768135868368
Dairy Products,0.0,0.03341521455798999,0.05418988471838651,1.0,0.1845954487588634,0.04812821067731932,-0.002850305302659275,0.019737867741140672,0.017862572137111357,-0.0,-0.04645968430680377,0.0284987135635702
Fruits,0.02666071694986321,0.032673706350141614,0.13018000349037437,0.1845954487588634,1.0,0.0,-0.02529241494163789,-0.0654568242842669,-0.006221975531405985,-0.030889249792427034,-0.05432292697694943,0.034067975381719164
Fried Foods,0.0,0.06046729903665749,0.03136975914812933,0.04812821067731932,0.0,1.0,0.2777272336898669,0.19672734189493196,0.02433471564842408,0.026292966538410983,0.017653989365498068,0.11308202511989397
High Fat Meat,-0.0485987971130592,0.12068555014879624,-0.0,-0.002850305302659275,-0.02529241494163789,0.2777272336898669,1.0,0.1090754028037503,0.06283969404553386,0.016244472094832357,0.053445244201232506,-0.007381630914369806
Processed Foods,0.003077256132714012,0.002396434544494276,-0.0625684022260549,0.019737867741140672,-0.0654568242842669,0.19672734189493196,0.1090754028037503,1.0,0.21369928163923105,0.04029255439268618,0.0626667090491098,0.12481847654711822
Sugar-Sweetened Beverages,-0.0051810292904936155,-0.0,-0.04343951665400376,0.017862572137111357,-0.006221975531405985,0.02433471564842408,0.06283969404553386,0.21369928163923105,1.0,0.10261717595464137,0.04381690404478927,0.21136934149908052
Additional Salt Use,-0.030779754254183094,-0.0029674495430557224,-0.03721084707499678,-0.0,-0.030889249792427034,0.026292966538410983,0.016244472094832357,0.04029255439268618,0.10261717595464137,1.0,0.2881953997793786,0.014054783537002312
Salty Food Consumption,0.017611045853362282,-0.018191346001018356,-0.042527721808099106,-0.04645968430680377,-0.05432292697694943,0.017653989365498068,0.053445244201232506,0.0626667090491098,0.04381690404478927,0.2881953997793786,1.0,0.026952458373456247
Sweet Food Consumption,0.03155041042006575,0.0028634567615823353,-0.016334768135868368,0.0284987135635702,0.034067975381719164,0.11308202511989397,-0.007381630914369806,0.12481847654711822,0.21136934149908052,0.014054783537002312,0.026952458373456247,1.0
