,Grain Products,Protein Foods,Vegetables,Dairy Products,Fruits,Fried Foods,High Fat Meat,Processed Foods,Sugar-Sweetened Beverages,Additional Salt Use,Salty Food Consumption,Sweet Food Consumption
Grain Products,1.0,0.1363788308190167,0.15788436014288404,0.031650301528760354,0.023482472967758683,0.008633809913206274,-0.011337473501806741,0.0,-0.0043886047753245155,-0.010912162916521128,0.019443104960442773,0.03945656226205178
Protein Foods,0.1363788308190167,1.0,0.3447231245075742,0.052261688155388286,0.03925702585967324,0.06653364494150507,0.13114554048985955,-0.0,-0.004768779049396917,0.0,0.0,0.0
Vegetables,0.15788436014288404,0.3447231245075742,1.0,0.0796332047109406,0.06186598862766613,0.023167270201658614,0.010532603316041007,-0.02834050712020338,-0.06779071002261866,-0.0,-0.0382924246396285,0.0
Dairy Products,0.031650301528760354,0.052261688155388286,0.0796332047109406,1.0,0.13362537029423618,0.0,-0.0,0.030304036558511206,-0.0,0.0,-0.0,0.07775636776144246
Fruits,0.023482472967758683,0.03925702585967324,0.06186598862766613,0.13362537029423618,1.0,0.046633481005196625,-0.0,-0.03651797984225239,-0.0,-0.025996010633134385,-0.04849249616998968,0.0
Fried Foods,0.008633809913206274,0.06653364494150507,0.023167270201658614,0.0,0.046633481005196625,1.0,0.22719243854439808,0.2232917365147516,0.08055853366002139,0.0,0.0,0.03393444143917023
High Fat Meat,-0.011337473501806741,0.13114554048985955,0.010532603316041007,-0.0,-0.0,0.22719243854439808,1.0,0.2043187834779176,0.034496312016138723,0.0771858277828433,0.0,-0.0
Processed Foods,0.0,-0.0,-0.02834050712020338,0.030304036558511206,-0.03651797984225239,0.2232917365147516,0.2043187834779176,1.0,0.17362319241566512,0.05028757463851451,0.08526344807133136,0.04735573853941389
Sugar-Sweetened Beverages,-0.0043886047753245155,-0.004768779049396917,-0.06779071002261866,-0.0,-0.0,0.08055853366002139,0.034496312016138723,0.17362319241566512,1.0,-0.006977811495680473,0.005332429354770833,0.18530552238249445
Additional Salt Use,-0.010912162916521128,0.0,-0.0,0.0,-0.025996010633134385,0.0,0.0771858277828433,0.05028757463851451,-0.006977811495680473,1.0,0.37423202237818515,-0.0018966000907316809
Salty Food Consumption,0.019443104960442773,0.0,-0.0382924246396285,-0.0,-0.04849249616998968,0.0,0.0,0.08526344807133136,0.005332429354770833,0.37423202237818515,1.0,0.025447383974650333
Sweet Food Consumption,0.03945656226205178,0.0,0.0,0.07775636776144246,0.0,0.03393444143917023,-0.0,0.04735573853941389,0.18530552238249445,-0.0018966000907316809,0.025447383974650333,1.0
