,Grain Products,Protein Foods,Vegetables,Dairy Products,Fruits,Fried Foods,High Fat Meat,Processed Foods,Sugar-Sweetened Beverages,Additional Salt Use,Salty Food Consumption,Sweet Food Consumption
Grain Products,1.0,0.23906656360303213,0.07970185505061661,0.019619673016294914,0.05202626270283662,0.007668250657604026,-0.01643222087641372,0.03247164457147335,-0.027799676088639588,-0.06432712217264853,0.03505550316663445,0.02956337979478642
Protein Foods,0.23906656360303213,1.0,0.3888986242320348,0.004998094766050451,0.0,0.08788491918870509,0.09744482092963203,-0.009075341407278944,-0.006563195385382356,-0.026023631016443116,-0.03646949347481772,-0.0014206079122196693
Vegetables,0.07970185505061661,0.3888986242320348,1.0,0.08377326995000049,0.1514204426398185,0.014260923944457219,0.05297263468869994,-0.07680485849736286,-0.040691221230396445,-0.005083069379600541,-0.05063523618757733,-0.01621213904381507
Dairy Products,0.019619673016294914,0.004998094766050451,0.08377326995000049,1.0,0.23895660265707122,0.03663010195168495,0.0,0.039940507773676866,0.0,0.005605282776224261,-0.048687010076397724,0.0370434366374435
Fruits,0.05202626270283662,0.0,0.1514204426398185,0.23895660265707122,1.0,-0.0,-0.002975296007626259,-0.060175193979802505,-0.021906385380140347,-0.007008150298728577,-0.019938545968631555,0.0888623528843724
Fried Foods,0.007668250657604026,0.08788491918870509,0.014260923944457219,0.03663010195168495,-0.0,1.0,0.2876762337232374,0.18771282991795868,0.011004061463838486,-0.0031434264406896228,0.0268891496000661,0.09244456772862059
High Fat Meat,-0.01643222087641372,0.09744482092963203,0.05297263468869994,0.0,-0.002975296007626259,0.2876762337232374,1.0,0.19153800405645408,0.07771706099768191,0.007212678888832423,0.046350172996911826,-0.0
Processed Foods,0.03247164457147335,-0.009075341407278944,-0.07680485849736286,0.039940507773676866,-0.060175193979802505,0.18771282991795868,0.19153800405645408,1.0,0.19532674983033183,0.030441674076781295,0.07460924882590497,0.08214560318230156
Sugar-Sweetened Beverages,-0.027799676088639588,-0.006563195385382356,-0.040691221230396445,0.0,-0.021906385380140347,0.011004061463838486,0.07771706099768191,0.19532674983033183,1.0,0.04582859278044383,0.06934995284229177,0.19788337222013103
Additional Salt Use,-0.06432712217264853,-0.026023631016443116,-0.005083069379600541,0.005605282776224261,-0.007008150298728577,-0.0031434264406896228,0.007212678888832423,0.030441674076781295,0.04582859278044383,1.0,0.382057450950521,-0.0
Salty Food Consumption,0.03505550316663445,-0.03646949347481772,-0.05063523618757733,-0.048687010076397724,-0.019938545968631555,0.0268891496000661,0.046350172996911826,0.07460924882590497,0.06934995284229177,0.382057450950521,1.0,0.0
Sweet Food Consumption,0.02956337979478642,-0.0014206079122196693,-0.01621213904381507,0.0370434366374435,0.0888623528843724,0.09244456772862059,-0.0,0.08214560318230156,0.19788337222013103,-0.0,0.0,1.0
