,Grain Products,Protein Foods,Vegetables,Dairy Products,Fruits,Fried Foods,High Fat Meat,Processed Foods,Sugar-Sweetened Beverages,Additional Salt Use,Salty Food Consumption,Sweet Food Consumption
Grain Products,1.0,0.07656862125388222,0.1458962233536379,-0.0041145888323444214,0.0017378056785663162,-0.003919060396289409,0.0,0.01236583276748088,0.0,-0.015011722865452052,0.10513859171006609,-0.0037653951260560527
Protein Foods,0.07656862125388222,1.0,0.3463627320031593,0.1805371142047506,0.1288402257024943,0.004448713198967351,0.10948051376944426,0.005005400851221962,-0.0036390566692951296,-0.0,-0.030369321257871416,0.047076200289513884
Vegetables,0.1458962233536379,0.3463627320031593,1.0,0.03054017761372086,0.033963453088119946,0.0,0.0,-0.05010140540112863,-0.025175231647696115,-0.030810547048174448,0.0,-0.030599753692210768
Dairy Products,-0.0041145888323444214,0.1805371142047506,0.03054017761372086,1.0,0.15331175174860084,-0.0,0.021058517489408533,-0.011594123226807055,-0.0,-0.003636656778885723,-0.06142598642247803,0.0
Fruits,0.0017378056785663162,0.1288402257024943,0.033963453088119946,0.15331175174860084,1.0,0.05025893591320934,-0.012421617564046153,-0.007588057393140325,-0.02608243846170597,-0.0,-0.040412590370315374,0.0775235354520441
Fried Foods,-0.003919060396289409,0.004448713198967351,0.0,-0.0,0.05025893591320934,1.0,0.1648169388003607,0.2561142051110485,0.023496083717658378,0.0,0.017912099505656538,0.12869613126992793
High Fat Meat,0.0,0.10948051376944426,0.0,0.021058517489408533,-0.012421617564046153,0.1648169388003607,1.0,0.18692547483888297,0.0,0.03860815964527374,0.0,0.05056998546184793
Processed Foods,0.01236583276748088,0.005005400851221962,-0.05010140540112863,-0.011594123226807055,-0.007588057393140325,0.2561142051110485,0.18692547483888297,1.0,0.07868447971671934,0.04979178602953511,0.020879423557517825,0.130010311668763
Sugar-Sweetened Beverages,0.0,-0.0036390566692951296,-0.025175231647696115,-0.0,-0.02608243846170597,0.023496083717658378,0.0,0.07868447971671934,1.0,0.032915795679863726,0.11743052703996777,0.07139023033435525
Additional Salt Use,-0.015011722865452052,-0.0,-0.030810547048174448,-0.003636656778885723,-0.0,0.0,0.03860815964527374,0.04979178602953511,0.032915795679863726,1.0,0.314117281950901,0.018044922075938073
Salty Food Consumption,0.10513859171006609,-0.030369321257871416,0.0,-0.06142598642247803,-0.040412590370315374,0.017912099505656538,0.0,0.020879423557517825,0.11743052703996777,0.314117281950901,1.0,0.027841111888273862
Sweet Food Consumption,-0.0037653951260560527,0.047076200289513884,-0.030599753692210768,0.0,0.0775235354520441,0.12869613126992793,0.05056998546184793,0.130010311668763,0.07139023033435525,0.018044922075938073,0.027841111888273862,1.0
