,Grain Products,Protein Foods,Vegetables,Dairy Products,Fruits,Fried Foods,High Fat Meat,Processed Foods,Sugar-Sweetened Beverages,Additional Salt Use,Salty Food Consumption,Sweet Food Consumption
Grain Products,1.0,0.12834791468286336,0.046245857746227886,-0.0,0.030350618916585262,0.02505429102788393,0.0,0.0,0.004318492410132863,-0.05104011801246563,0.04992717670005934,0.05150676912993805
Protein Foods,0.12834791468286336,1.0,0.38875749115168,0.08639928797093688,0.07081045147589554,0.022409634760048883,0.028334453563119647,-0.006120429130583515,-0.050920157628895756,-0.014265592460843825,-0.06461611579677437,0.03535955974186422
Vegetables,0.046245857746227886,0.38875749115168,1.0,0.017556275032348884,0.07506832671572339,0.0003517955952021131,0.004937668510501122,-0.028680702506900232,-0.01577806446066576,0.017022299077173998,-0.040334992545552374,-0.060799829087011086
Dairy Products,-0.0,0.08639928797093688,0.017556275032348884,1.0,0.1422077021801504,-0.004289491120780873,0.03106904156904274,0.0,0.0,-0.002425897849021072,-0.12048466706140384,0.016347900065699375
Fruits,0.030350618916585262,0.07081045147589554,0.07506832671572339,0.1422077021801504,1.0,-0.008530997852181496,-0.025096417357469356,-0.03202493661219679,-0.03964267413479287,-0.05110297713885384,-0.02817958275964,0.02868773702303549
Fried Foods,0.02505429102788393,0.022409634760048883,0.0003517955952021131,-0.004289491120780873,-0.008530997852181496,1.0,0.1369547292152348,0.13172794233883212,0.052498759302317184,0.07045904398762834,0.06698209117652563,0.11644837055812397
High Fat Meat,0.0,0.028334453563119647,0.004937668510501122,0.03106904156904274,-0.025096417357469356,0.1369547292152348,1.0,0.02897341084597176,0.09561788868703223,0.05592579160481777,0.07586156943170795,0.021801807115871707
Processed Foods,0.0,-0.006120429130583515,-0.028680702506900232,0.0,-0.03202493661219679,0.13172794233883212,0.02897341084597176,1.0,0.10580653414870828,0.009549219150646406,0.05676979466106385,0.19865602748342387
Sugar-Sweetened Beverages,0.004318492410132863,-0.050920157628895756,-0.01577806446066576,0.0,-0.03964267413479287,0.052498759302317184,0.09561788868703223,0.10580653414870828,1.0,0.017328458382002216,0.0029460158658899094,0.07655603122834592
Additional Salt Use,-0.05104011801246563,-0.014265592460843825,0.017022299077173998,-0.002425897849021072,-0.05110297713885384,0.07045904398762834,0.05592579160481777,0.009549219150646406,0.017328458382002216,1.0,0.2872252092807823,0.03587950647014776
Salty Food Consumption,0.04992717670005934,-0.06461611579677437,-0.040334992545552374,-0.12048466706140384,-0.02817958275964,0.06698209117652563,0.07586156943170795,0.05676979466106385,0.0029460158658899094,0.2872252092807823,1.0,0.011122146029768253
Sweet Food Consumption,0.05150676912993805,0.03535955974186422,-0.060799829087011086,0.016347900065699375,0.02868773702303549,0.11644837055812397,0.021801807115871707,0.19865602748342387,0.07655603122834592,0.03587950647014776,0.011122146029768253,1.0
