,Grain Products,Protein Foods,Vegetables,Dairy Products,Fruits,Fried Foods,High Fat Meat,Processed Foods,Sugar-Sweetened Beverages,Additional Salt Use,Salty Food Consumption,Sweet Food Consumption
Grain Products,1.0,0.08159680042034963,0.13085035279457663,-0.006801100616716153,0.0,0.0,-0.02403421157614037,0.06495598014549331,-0.032141717894846815,-0.0063968951946904926,0.14296483951591604,0.04185011082259244
Protein Foods,0.08159680042034963,1.0,0.45380082161290747,0.06350504944199167,0.024514289753444822,0.08262005994534946,0.0690190396954288,-0.0020155775264903636,-0.08137088683133804,-0.01336222052174669,-0.04460236489489477,0.009812478827355576
Vegetables,0.13085035279457663,0.45380082161290747,1.0,0.013028234224497098,0.07185407862588943,0.0,-0.0,-0.0,-0.0,-0.0232703649691032,-0.0,-0.02563491295062476
Dairy Products,-0.006801100616716153,0.06350504944199167,0.013028234224497098,1.0,0.19539244733666367,-0.0,-0.011291988422996625,-0.0,0.031172343040277408,0.002815083298627198,-0.0,0.0
Fruits,0.0,0.024514289753444822,0.07185407862588943,0.19539244733666367,1.0,0.03566054294519427,-0.09323622458571074,-0.039874460871007454,-0.07929226774971178,0.0,-0.028367491316317373,0.09181265118269964
Fried Foods,0.0,0.08262005994534946,0.0,-0.0,0.03566054294519427,1.0,0.2516250231682738,0.2076249106825721,0.11877524056910907,0.04968473438778444,-0.009612781044774237,0.11860338968389685
High Fat Meat,-0.02403421157614037,0.0690190396954288,-0.0,-0.011291988422996625,-0.09323622458571074,0.2516250231682738,1.0,0.1161745052529361,0.010758963358701835,0.03786610064800681,0.10628488832600813,-0.01682112032509473
Processed Foods,0.06495598014549331,-0.0020155775264903636,-0.0,-0.0,-0.039874460871007454,0.2076249106825721,0.1161745052529361,1.0,0.1343690531062421,0.027943932744048914,0.029671958354067766,0.1890423162929665
Sugar-Sweetened Beverages,-0.032141717894846815,-0.08137088683133804,-0.0,0.031172343040277408,-0.07929226774971178,0.11877524056910907,0.010758963358701835,0.1343690531062421,1.0,0.06481901049399735,0.028290131159133022,0.1712644894942584
Additional Salt Use,-0.0063968951946904926,-0.01336222052174669,-0.0232703649691032,0.002815083298627198,0.0,0.04968473438778444,0.03786610064800681,0.027943932744048914,0.06481901049399735,1.0,0.22262582993955443,-0.007846359901109802
Salty Food Consumption,0.14296483951591604,-0.04460236489489477,-0.0,-0.0,-0.028367491316317373,-0.009612781044774237,0.10628488832600813,0.029671958354067766,0.028290131159133022,0.22262582993955443,1.0,-0.003583395047660103
Sweet Food Consumption,0.04185011082259244,0.009812478827355576,-0.02563491295062476,0.0,0.09181265118269964,0.11860338968389685,-0.01682112032509473,0.1890423162929665,0.1712644894942584,-0.007846359901109802,-0.003583395047660103,1.0
