,Grain Products,Protein Foods,Vegetables,Dairy Products,Fruits,Fried Foods,High Fat Meat,Processed Foods,Sugar-Sweetened Beverages,Additional Salt Use,Salty Food Consumption,Sweet Food Consumption
Grain Products,1.0,0.19926417158388046,0.052274305882656934,-0.0475481127696494,0.0549040433879896,0.00016175288093877235,-0.011163522578850513,0.019068703564152426,0.0,-0.03767528110556377,0.03283171406827061,0.04721994882655862
Protein Foods,0.19926417158388046,1.0,0.4582686882045306,0.04594603833223069,0.05397635274941417,0.07420411743639295,0.11405474498868916,-0.016277063233452363,-0.011059546096863479,-0.014572857863284513,-0.02096709362007365,-0.012061794313372001
Vegetables,0.052274305882656934,0.4582686882045306,1.0,0.06935971600224311,0.12852089246446852,0.012231665326452416,0.0020376924215443097,-0.05692771385953057,-0.0250924740453935,-0.01766733217963244,-0.03263713896186426,-0.03688273863250586
Dairy Products,-0.0475481127696494,0.04594603833223069,0.06935971600224311,1.0,0.15950313794582557,0.01721037354934003,-0.0,0.005244081568201674,0.0,0.0,-0.031154991117932268,0.04981575487904187
Fruits,0.0549040433879896,0.05397635274941417,0.12852089246446852,0.15950313794582557,1.0,0.0,-0.012703915094389647,-0.07309672144634759,-0.03018255459966829,-0.029865437267783537,-0.04227312283611213,0.07136296486741506
Fried Foods,0.00016175288093877235,0.07420411743639295,0.012231665326452416,0.01721037354934003,0.0,1.0,0.2345278881618715,0.18544705919607044,0.042535698644021645,0.02277436694458247,0.04718121201759079,0.07929375137480037
High Fat Meat,-0.011163522578850513,0.11405474498868916,0.0020376924215443097,-0.0,-0.012703915094389647,0.2345278881618715,1.0,0.13646314838675538,0.07742696148505336,0.028863191595413215,0.06060022103561202,-0.0
Processed Foods,0.019068703564152426,-0.016277063233452363,-0.05692771385953057,0.005244081568201674,-0.07309672144634759,0.18544705919607044,0.13646314838675538,1.0,0.16247950320331728,0.035638676208480824,0.058955976672329165,0.18918977704601006
Sugar-Sweetened Beverages,0.0,-0.011059546096863479,-0.0250924740453935,0.0,-0.03018255459966829,0.042535698644021645,0.07742696148505336,0.16247950320331728,1.0,0.06931662244815297,0.05230868348880726,0.10759975766780396
Additional Salt Use,-0.03767528110556377,-0.014572857863284513,-0.01766733217963244,0.0,-0.029865437267783537,0.02277436694458247,0.028863191595413215,0.035638676208480824,0.06931662244815297,1.0,0.2616675169233205,0.008065646887292794
Salty Food Consumption,0.03283171406827061,-0.02096709362007365,-0.03263713896186426,-0.031154991117932268,-0.04227312283611213,0.04718121201759079,0.06060022103561202,0.058955976672329165,0.05230868348880726,0.2616675169233205,1.0,5.6888010014308286e-05
Sweet Food Consumption,0.04721994882655862,-0.012061794313372001,-0.03688273863250586,0.04981575487904187,0.07136296486741506,0.07929375137480037,-0.0,0.18918977704601006,0.10759975766780396,0.008065646887292794,5.6888010014308286e-05,1.0
