,Grain Products,Protein Foods,Vegetables,Dairy Products,Fruits,Fried Foods,High Fat Meat,Processed Foods,Sugar-Sweetened Beverages,Additional Salt Use,Salty Food Consumption,Sweet Food Consumption
Grain Products,1.0,0.18337914015421974,0.05755867596727555,0.006338529717911788,-0.0,0.058908266067764226,-0.0,0.0474687474036967,0.0,-0.022626031960535538,0.010998148113227206,0.05000863302535337
Protein Foods,0.18337914015421974,1.0,0.4713582081078338,0.023760016182598657,0.07755317396382505,0.03097545048458748,0.10040839988644688,-0.05002381254024833,0.0,-0.0217093118372836,-0.011813557196162708,0.00549261281167489
Vegetables,0.05755867596727555,0.4713582081078338,1.0,0.08531917340045551,0.13571315212672358,0.011080542538328443,0.0,-0.08160462109708053,-0.02796968475390101,0.0,-0.05245547130012857,-0.041000849310340634
Dairy Products,0.006338529717911788,0.023760016182598657,0.08531917340045551,1.0,0.1717147353168377,0.043249079976454864,-0.0,0.052095014951644064,-0.019111302603227194,-0.0,-0.07732003813557627,0.07382808513066551
Fruits,-0.0,0.07755317396382505,0.13571315212672358,0.1717147353168377,1.0,0.018718911373044624,-0.02459619649958882,-0.058464392537736935,-0.04177554308882061,0.0008006907197671284,-0.057451510348754474,0.051831906850607984
Fried Foods,0.058908266067764226,0.03097545048458748,0.011080542538328443,0.043249079976454864,0.018718911373044624,1.0,0.2573076913639198,0.15613711204823982,0.020175675456500345,0.0,0.051390199662815744,0.08095159936372796
High Fat Meat,-0.0,0.10040839988644688,0.0,-0.0,-0.02459619649958882,0.2573076913639198,1.0,0.1754253846235252,0.054560750244841305,0.06977957572734533,0.0665853749583005,0.0
Processed Foods,0.0474687474036967,-0.05002381254024833,-0.08160462109708053,0.052095014951644064,-0.058464392537736935,0.15613711204823982,0.1754253846235252,1.0,0.1788692896280905,0.046388910020662026,0.05876063980201738,0.15305217904412763
Sugar-Sweetened Beverages,0.0,0.0,-0.02796968475390101,-0.019111302603227194,-0.04177554308882061,0.020175675456500345,0.054560750244841305,0.1788692896280905,1.0,0.017188418024005617,0.10695486858858026,0.1263534677001411
Additional Salt Use,-0.022626031960535538,-0.0217093118372836,0.0,-0.0,0.0008006907197671284,0.0,0.06977957572734533,0.046388910020662026,0.017188418024005617,1.0,0.31647895348138183,0.02501607522686624
Salty Food Consumption,0.010998148113227206,-0.011813557196162708,-0.05245547130012857,-0.07732003813557627,-0.057451510348754474,0.051390199662815744,0.0665853749583005,0.05876063980201738,0.10695486858858026,0.31647895348138183,1.0,-0.029234449243349392
Sweet Food Consumption,0.05000863302535337,0.00549261281167489,-0.041000849310340634,0.07382808513066551,0.051831906850607984,0.08095159936372796,0.0,0.15305217904412763,0.1263534677001411,0.02501607522686624,-0.029234449243349392,1.0
