Group,Sex,Age_Group,MetS_Status,N_Samples,N_Edges,Density,Alpha,N_Communities,Modularity,Hub_1_Name,Hub_1_Degree,Hub_2_Name,Hub_2_Degree,Hub_3_Name,Hub_3_Degree
남성_청년층(19-39세)_MetS(+),남성,청년층(19-39세),MetS(+),516,13,0.19696969696969696,0.1,5,0.5390207048947545,Grain Products,0.2727272727272727,Protein Foods,0.2727272727272727,Fried Foods,0.2727272727272727
남성_청년층(19-39세)_MetS(-),남성,청년층(19-39세),MetS(-),1963,10,0.15151515151515152,0.1,3,0.6184984447302235,Processed Foods,0.2727272727272727,Protein Foods,0.18181818181818182,Vegetables,0.18181818181818182
남성_중년층(40-59세)_MetS(+),남성,중년층(40-59세),MetS(+),2938,14,0.21212121212121213,0.1,3,0.5099951309357609,Fried Foods,0.36363636363636365,Processed Foods,0.36363636363636365,Protein Foods,0.2727272727272727
남성_중년층(40-59세)_MetS(-),남성,중년층(40-59세),MetS(-),4737,14,0.21212121212121213,0.1,3,0.5499794461292958,Fried Foods,0.36363636363636365,Processed Foods,0.36363636363636365,Vegetables,0.2727272727272727
남성_장년층(60-74세)_MetS(+),남성,장년층(60-74세),MetS(+),971,15,0.22727272727272727,0.1,3,0.4982241781581781,Processed Foods,0.36363636363636365,Protein Foods,0.2727272727272727,Fruits,0.2727272727272727
남성_장년층(60-74세)_MetS(-),남성,장년층(60-74세),MetS(-),1169,14,0.21212121212121213,0.1,4,0.5292391029437088,High Fat Meat,0.36363636363636365,Processed Foods,0.36363636363636365,Protein Foods,0.2727272727272727
여성_청년층(19-39세)_MetS(-),여성,청년층(19-39세),MetS(-),2519,12,0.18181818181818182,0.1,3,0.5667003130291416,Fried Foods,0.36363636363636365,Sugar-Sweetened Beverages,0.2727272727272727,Grain Products,0.18181818181818182
여성_중년층(40-59세)_MetS(+),여성,중년층(40-59세),MetS(+),758,14,0.21212121212121213,0.1,3,0.4772833152737312,Fried Foods,0.4545454545454546,High Fat Meat,0.36363636363636365,Processed Foods,0.2727272727272727
여성_중년층(40-59세)_MetS(-),여성,중년층(40-59세),MetS(-),5629,17,0.25757575757575757,0.1,3,0.43172511903688293,Processed Foods,0.4545454545454546,Sugar-Sweetened Beverages,0.4545454545454546,Fried Foods,0.36363636363636365
여성_장년층(60-74세)_MetS(+),여성,장년층(60-74세),MetS(+),680,16,0.24242424242424243,0.1,3,0.48048594659467925,Protein Foods,0.36363636363636365,Processed Foods,0.36363636363636365,Sugar-Sweetened Beverages,0.36363636363636365
여성_장년층(60-74세)_MetS(-),여성,장년층(60-74세),MetS(-),1084,18,0.2727272727272727,0.1,3,0.41059267164970337,Fried Foods,0.4545454545454546,Sugar-Sweetened Beverages,0.4545454545454546,High Fat Meat,0.36363636363636365
