Group,Rank,Top Degree,Top Betweenness,Top Closeness
남성_청년층(19-39세)_MetS(+),1,Processed Foods (0.2727),Processed Foods (0.0727),Processed Foods (0.2909)
남성_청년층(19-39세)_MetS(+),2,Vegetables (0.1818),Sugar-Sweetened Beverages (0.0545),Sugar-Sweetened Beverages (0.2424)
남성_청년층(19-39세)_MetS(+),3,Fried Foods (0.1818),Vegetables (0.0182),Fried Foods (0.2078)
남성_청년층(19-39세)_MetS(+),4,High Fat Meat (0.1818),Grain Products (0.0000),High Fat Meat (0.2078)
남성_청년층(19-39세)_MetS(+),5,Sugar-Sweetened Beverages (0.1818),Protein Foods (0.0000),Vegetables (0.1818)
남성_청년층(19-39세)_MetS(-),1,Processed Foods (0.2727),Processed Foods (0.0727),Processed Foods (0.2909)
남성_청년층(19-39세)_MetS(-),2,Protein Foods (0.1818),Sugar-Sweetened Beverages (0.0545),Sugar-Sweetened Beverages (0.2424)
남성_청년층(19-39세)_MetS(-),3,Fried Foods (0.1818),Protein Foods (0.0182),Fried Foods (0.2078)
남성_청년층(19-39세)_MetS(-),4,High Fat Meat (0.1818),Grain Products (0.0000),High Fat Meat (0.2078)
남성_청년층(19-39세)_MetS(-),5,Sugar-Sweetened Beverages (0.1818),Vegetables (0.0000),Protein Foods (0.1818)
남성_중년층(40-59세)_MetS(+),1,Protein Foods (0.1818),Processed Foods (0.0727),Processed Foods (0.2424)
남성_중년층(40-59세)_MetS(+),2,Fried Foods (0.1818),Fried Foods (0.0545),Fried Foods (0.2078)
남성_중년층(40-59세)_MetS(+),3,Processed Foods (0.1818),Sugar-Sweetened Beverages (0.0545),Sugar-Sweetened Beverages (0.2078)
남성_중년층(40-59세)_MetS(+),4,Sugar-Sweetened Beverages (0.1818),Protein Foods (0.0182),Protein Foods (0.1818)
남성_중년층(40-59세)_MetS(+),5,Grain Products (0.0909),Grain Products (0.0000),High Fat Meat (0.1455)
남성_중년층(40-59세)_MetS(-),1,Protein Foods (0.1818),Processed Foods (0.0727),Processed Foods (0.2424)
남성_중년층(40-59세)_MetS(-),2,Fried Foods (0.1818),Fried Foods (0.0545),Fried Foods (0.2078)
남성_중년층(40-59세)_MetS(-),3,Processed Foods (0.1818),Sugar-Sweetened Beverages (0.0545),Sugar-Sweetened Beverages (0.2078)
남성_중년층(40-59세)_MetS(-),4,Sugar-Sweetened Beverages (0.1818),Protein Foods (0.0182),Protein Foods (0.1818)
남성_중년층(40-59세)_MetS(-),5,Grain Products (0.0909),Grain Products (0.0000),High Fat Meat (0.1455)
남성_장년층(60-74세)_MetS(+),1,Fried Foods (0.1818),Processed Foods (0.0727),Processed Foods (0.2424)
남성_장년층(60-74세)_MetS(+),2,Processed Foods (0.1818),Fried Foods (0.0545),Fried Foods (0.2078)
남성_장년층(60-74세)_MetS(+),3,Sugar-Sweetened Beverages (0.1818),Sugar-Sweetened Beverages (0.0545),Sugar-Sweetened Beverages (0.2078)
남성_장년층(60-74세)_MetS(+),4,Protein Foods (0.0909),Grain Products (0.0000),High Fat Meat (0.1455)
남성_장년층(60-74세)_MetS(+),5,Vegetables (0.0909),Protein Foods (0.0000),Sweet Food Consumption (0.1455)
남성_장년층(60-74세)_MetS(-),1,Protein Foods (0.1818),Fried Foods (0.0364),Fried Foods (0.2045)
남성_장년층(60-74세)_MetS(-),2,Fried Foods (0.1818),Processed Foods (0.0364),Processed Foods (0.2045)
남성_장년층(60-74세)_MetS(-),3,Processed Foods (0.1818),Protein Foods (0.0182),Protein Foods (0.1818)
남성_장년층(60-74세)_MetS(-),4,Grain Products (0.0909),Grain Products (0.0000),High Fat Meat (0.1364)
남성_장년층(60-74세)_MetS(-),5,Vegetables (0.0909),Vegetables (0.0000),Sugar-Sweetened Beverages (0.1364)
여성_청년층(19-39세)_MetS(-),1,High Fat Meat (0.1818),High Fat Meat (0.0364),High Fat Meat (0.2045)
