Group,Node 1,Node 2,Partial Correlation,Absolute Weight
남성_청년층(19-39세)_MetS(+),Grain Products,Vegetables,0.1104,0.1104
남성_청년층(19-39세)_MetS(+),Protein Foods,Vegetables,0.2917,0.2917
남성_청년층(19-39세)_MetS(+),Fried Foods,High Fat Meat,0.1894,0.1894
남성_청년층(19-39세)_MetS(+),Fried Foods,Processed Foods,0.1825,0.1825
남성_청년층(19-39세)_MetS(+),High Fat Meat,Processed Foods,0.1679,0.1679
남성_청년층(19-39세)_MetS(+),Processed Foods,Sugar-Sweetened Beverages,0.1360,0.1360
남성_청년층(19-39세)_MetS(+),Sugar-Sweetened Beverages,Sweet Food Consumption,0.1185,0.1185
남성_청년층(19-39세)_MetS(+),Additional Salt Use,Salty Food Consumption,0.2976,0.2976
남성_중년층(40-59세)_MetS(+),Grain Products,Protein Foods,0.1691,0.1691
남성_중년층(40-59세)_MetS(+),Protein Foods,Vegetables,0.3240,0.3240
남성_중년층(40-59세)_MetS(+),Dairy Products,Fruits,0.1052,0.1052
남성_중년층(40-59세)_MetS(+),Fried Foods,High Fat Meat,0.2119,0.2119
남성_중년층(40-59세)_MetS(+),Fried Foods,Processed Foods,0.1531,0.1531
남성_중년층(40-59세)_MetS(+),Processed Foods,Sugar-Sweetened Beverages,0.1568,0.1568
남성_중년층(40-59세)_MetS(+),Sugar-Sweetened Beverages,Sweet Food Consumption,0.1607,0.1607
남성_중년층(40-59세)_MetS(+),Additional Salt Use,Salty Food Consumption,0.2175,0.2175
남성_장년층(60-74세)_MetS(+),Protein Foods,Vegetables,0.2274,0.2274
남성_장년층(60-74세)_MetS(+),Fried Foods,High Fat Meat,0.1362,0.1362
남성_장년층(60-74세)_MetS(+),Fried Foods,Processed Foods,0.1600,0.1600
남성_장년층(60-74세)_MetS(+),Processed Foods,Sugar-Sweetened Beverages,0.1126,0.1126
남성_장년층(60-74세)_MetS(+),Sugar-Sweetened Beverages,Sweet Food Consumption,0.1010,0.1010
남성_장년층(60-74세)_MetS(+),Additional Salt Use,Salty Food Consumption,0.2635,0.2635
남성_중년층(40-59세)_MetS(-),Grain Products,Protein Foods,0.1580,0.1580
남성_중년층(40-59세)_MetS(-),Protein Foods,Vegetables,0.3659,0.3659
남성_중년층(40-59세)_MetS(-),Fried Foods,High Fat Meat,0.2168,0.2168
남성_중년층(40-59세)_MetS(-),Fried Foods,Processed Foods,0.1516,0.1516
남성_중년층(40-59세)_MetS(-),Processed Foods,Sugar-Sweetened Beverages,0.1776,0.1776
남성_중년층(40-59세)_MetS(-),Sugar-Sweetened Beverages,Sweet Food Consumption,0.1475,0.1475
남성_중년층(40-59세)_MetS(-),Additional Salt Use,Salty Food Consumption,0.2078,0.2078
남성_청년층(19-39세)_MetS(-),Grain Products,Protein Foods,0.1749,0.1749
남성_청년층(19-39세)_MetS(-),Protein Foods,Vegetables,0.3252,0.3252
남성_청년층(19-39세)_MetS(-),Dairy Products,Fruits,0.1532,0.1532
남성_청년층(19-39세)_MetS(-),Fried Foods,High Fat Meat,0.2344,0.2344
남성_청년층(19-39세)_MetS(-),Fried Foods,Processed Foods,0.1391,0.1391
남성_청년층(19-39세)_MetS(-),High Fat Meat,Processed Foods,0.1430,0.1430
남성_청년층(19-39세)_MetS(-),Processed Foods,Sugar-Sweetened Beverages,0.1559,0.1559
남성_청년층(19-39세)_MetS(-),Sugar-Sweetened Beverages,Sweet Food Consumption,0.1166,0.1166
남성_청년층(19-39세)_MetS(-),Additional Salt Use,Salty Food Consumption,0.2892,0.2892
남성_장년층(60-74세)_MetS(-),Grain Products,Protein Foods,0.1042,0.1042
남성_장년층(60-74세)_MetS(-),Protein Foods,Vegetables,0.2436,0.2436
남성_장년층(60-74세)_MetS(-),Fried Foods,High Fat Meat,0.1228,0.1228
남성_장년층(60-74세)_MetS(-),Fried Foods,Processed Foods,0.1026,0.1026
남성_장년층(60-74세)_MetS(-),Processed Foods,Sugar-Sweetened Beverages,0.1439,0.1439
남성_장년층(60-74세)_MetS(-),Additional Salt Use,Salty Food Consumption,0.2269,0.2269
여성_중년층(40-59세)_MetS(+),Protein Foods,Vegetables,0.3759,0.3759
여성_중년층(40-59세)_MetS(+),Dairy Products,Fruits,0.1017,0.1017
여성_중년층(40-59세)_MetS(+),Fried Foods,High Fat Meat,0.1911,0.1911
여성_중년층(40-59세)_MetS(+),Fried Foods,Processed Foods,0.1752,0.1752
여성_중년층(40-59세)_MetS(+),Processed Foods,Sweet Food Consumption,0.1345,0.1345
여성_중년층(40-59세)_MetS(+),Sugar-Sweetened Beverages,Sweet Food Consumption,0.1045,0.1045
여성_중년층(40-59세)_MetS(+),Additional Salt Use,Salty Food Consumption,0.1376,0.1376
여성_장년층(60-74세)_MetS(+),Protein Foods,Vegetables,0.2835,0.2835
여성_장년층(60-74세)_MetS(+),Protein Foods,Dairy Products,0.1315,0.1315
여성_장년층(60-74세)_MetS(+),Fried Foods,High Fat Meat,0.1172,0.1172
여성_장년층(60-74세)_MetS(+),Fried Foods,Processed Foods,0.2062,0.2062
여성_장년층(60-74세)_MetS(+),High Fat Meat,Processed Foods,0.1370,0.1370
여성_장년층(60-74세)_MetS(+),Additional Salt Use,Salty Food Consumption,0.2318,0.2318
여성_청년층(19-39세)_MetS(-),Protein Foods,Vegetables,0.3712,0.3712
여성_청년층(19-39세)_MetS(-),Fried Foods,High Fat Meat,0.1640,0.1640
여성_청년층(19-39세)_MetS(-),High Fat Meat,Processed Foods,0.1019,0.1019
여성_청년층(19-39세)_MetS(-),Processed Foods,Sugar-Sweetened Beverages,0.1100,0.1100
