Group,Total Communities,Modularity,Community ID,Size,Internal Edges,Internal Density,Healthy Foods,Processed/Unhealthy Foods,Salt-related Foods,Dietary Pattern
Male_Young_MetS(+),5,0.539,1,2,1,1.000,-,"Sugar-Sweetened Beverages, Sweet Food Consumption",-,Mixed Processed Pattern
Male_Young_MetS(+),5,0.539,2,3,3,1.000,"Grain Products, Protein Foods, Vegetables",-,-,Mixed Healthy Pattern
Male_Young_MetS(+),5,0.539,3,2,1,1.000,"Dairy Products, Fruits",-,-,Mixed Healthy Pattern
Male_Young_MetS(+),5,0.539,4,3,3,1.000,-,"Fried Foods, High Fat Meat, Processed Foods",-,Mixed Processed Pattern
Male_Young_MetS(+),5,0.539,5,2,1,1.000,-,-,"Additional Salt Use, Salty Food Consumption",High Sodium Pattern
Male_Middle_MetS(+),3,0.510,1,5,4,0.400,"Dairy Products, Fruits, Grain Products, Protein Foods, Vegetables",-,-,Traditional Korean Diet Pattern
Male_Middle_MetS(+),3,0.510,2,5,8,0.800,-,"Fried Foods, High Fat Meat, Processed Foods, Sugar-Sweetened Beverages, Sweet Food Consumption",-,Western/Processed Food Pattern
Male_Middle_MetS(+),3,0.510,3,2,1,1.000,-,-,"Additional Salt Use, Salty Food Consumption",High Sodium Pattern
Male_Older_MetS(+),3,0.498,1,5,5,0.500,"Dairy Products, Fruits, Grain Products, Protein Foods, Vegetables",-,-,Traditional Korean Diet Pattern
Male_Older_MetS(+),3,0.498,2,5,6,0.600,-,"Fried Foods, High Fat Meat, Processed Foods, Sugar-Sweetened Beverages, Sweet Food Consumption",-,Western/Processed Food Pattern
Male_Older_MetS(+),3,0.498,3,2,1,1.000,-,-,"Additional Salt Use, Salty Food Consumption",High Sodium Pattern
Male_Young_MetS(-),3,0.550,1,5,5,0.500,"Dairy Products, Fruits, Grain Products, Protein Foods, Vegetables",-,-,Traditional Korean Diet Pattern
Male_Young_MetS(-),3,0.550,2,5,8,0.800,-,"Fried Foods, High Fat Meat, Processed Foods, Sugar-Sweetened Beverages, Sweet Food Consumption",-,Western/Processed Food Pattern
Male_Young_MetS(-),3,0.550,3,2,1,1.000,-,-,"Additional Salt Use, Salty Food Consumption",High Sodium Pattern
Male_Middle_MetS(-),3,0.618,1,5,4,0.400,"Dairy Products, Fruits, Grain Products, Protein Foods, Vegetables",-,-,Traditional Korean Diet Pattern
Male_Middle_MetS(-),3,0.618,2,5,5,0.500,-,"Fried Foods, High Fat Meat, Processed Foods, Sugar-Sweetened Beverages, Sweet Food Consumption",-,Western/Processed Food Pattern
Male_Middle_MetS(-),3,0.618,3,2,1,1.000,-,-,"Additional Salt Use, Salty Food Consumption",High Sodium Pattern
Male_Older_MetS(-),4,0.529,1,4,4,0.667,"Fruits, Grain Products, Protein Foods, Vegetables",-,-,Traditional Korean Diet Pattern
Male_Older_MetS(-),4,0.529,2,1,0,0.000,Dairy Products,-,-,Mixed Healthy Pattern
Male_Older_MetS(-),4,0.529,3,4,5,0.833,-,"Fried Foods, Processed Foods, Sugar-Sweetened Beverages, Sweet Food Consumption",-,Western/Processed Food Pattern
Male_Older_MetS(-),4,0.529,4,3,3,1.000,-,High Fat Meat,"Additional Salt Use, Salty Food Consumption",High Sodium Pattern
Female_Middle_MetS(+),3,0.477,1,4,3,0.500,"Grain Products, Protein Foods, Vegetables",-,Salty Food Consumption,Mixed Healthy Pattern
Female_Middle_MetS(+),3,0.477,2,2,1,1.000,"Dairy Products, Fruits",-,-,Mixed Healthy Pattern
Female_Middle_MetS(+),3,0.477,3,6,10,0.667,-,"Fried Foods, High Fat Meat, Processed Foods, Sugar-Sweetened Beverages, Sweet Food Consumption",Additional Salt Use,Western/Processed Food Pattern
Female_Older_MetS(+),3,0.480,1,5,6,0.600,"Dairy Products, Fruits, Grain Products, Protein Foods, Vegetables",-,-,Traditional Korean Diet Pattern
Female_Older_MetS(+),3,0.480,2,5,7,0.700,-,"Fried Foods, High Fat Meat, Processed Foods, Sugar-Sweetened Beverages, Sweet Food Consumption",-,Western/Processed Food Pattern
Female_Older_MetS(+),3,0.480,3,2,1,1.000,-,-,"Additional Salt Use, Salty Food Consumption",High Sodium Pattern
Female_Young_MetS(-),3,0.567,1,5,4,0.400,"Dairy Products, Fruits, Grain Products, Protein Foods, Vegetables",-,-,Traditional Korean Diet Pattern
Female_Young_MetS(-),3,0.567,2,2,1,1.000,-,-,"Additional Salt Use, Salty Food Consumption",High Sodium Pattern
Female_Young_MetS(-),3,0.567,3,5,6,0.600,-,"Fried Foods, High Fat Meat, Processed Foods, Sugar-Sweetened Beverages, Sweet Food Consumption",-,Western/Processed Food Pattern
Female_Middle_MetS(-),3,0.432,1,5,4,0.400,"Dairy Products, Fruits, Grain Products, Protein Foods, Vegetables",-,-,Traditional Korean Diet Pattern
Female_Middle_MetS(-),3,0.432,2,5,9,0.900,-,"Fried Foods, High Fat Meat, Processed Foods, Sugar-Sweetened Beverages, Sweet Food Consumption",-,Western/Processed Food Pattern
Female_Middle_MetS(-),3,0.432,3,2,1,1.000,-,-,"Additional Salt Use, Salty Food Consumption",High Sodium Pattern
Female_Older_MetS(-),3,0.411,1,5,4,0.400,"Dairy Products, Fruits, Grain Products, Protein Foods, Vegetables",-,-,Traditional Korean Diet Pattern
Female_Older_MetS(-),3,0.411,2,5,9,0.900,-,"Fried Foods, High Fat Meat, Processed Foods, Sugar-Sweetened Beverages, Sweet Food Consumption",-,Western/Processed Food Pattern
Female_Older_MetS(-),3,0.411,3,2,1,1.000,-,-,"Additional Salt Use, Salty Food Consumption",High Sodium Pattern
