Group_ID,Sex,Age_Group,MetS_Status,Sample_Size,Edges,Density (%),Alpha (α)
1,남성,청년층(19-39세),MetS(+),516,8,12.1,0.124
2,남성,청년층(19-39세),MetS(-),1963,9,13.6,0.124
3,남성,중년층(40-59세),MetS(+),2938,8,12.1,0.124
4,남성,중년층(40-59세),MetS(-),4737,7,10.6,0.124
5,남성,장년층(60-74세),MetS(+),971,6,9.1,0.164
6,남성,장년층(60-74세),MetS(-),1169,6,9.1,0.164
7,여성,청년층(19-39세),MetS(-),2519,5,7.6,0.164
8,여성,중년층(40-59세),MetS(+),758,7,10.6,0.124
9,여성,중년층(40-59세),MetS(-),5629,7,10.6,0.124
10,여성,장년층(60-74세),MetS(+),680,6,9.1,0.124
11,여성,장년층(60-74세),MetS(-),1084,3,4.5,0.124
