Sex,Age_Group,MetS_Status,N,Age,BMI(kg/m2),WC
남성,청년층(19-39세),MetS(-),1963,33.1 ± 4.7,24.3 ± 2.9,86.1 ± 7.6
남성,청년층(19-39세),MetS(+),516,34.8 ± 3.8,28.5 ± 3.7,97.7 ± 8.6
남성,중년층(40-59세),MetS(-),4737,49.4 ± 5.5,23.9 ± 2.3,86.1 ± 6.3
남성,중년층(40-59세),MetS(+),2938,50.1 ± 5.2,26.8 ± 2.9,93.8 ± 7.1
남성,장년층(60-74세),MetS(-),1169,65.5 ± 5.1,23.2 ± 2.3,84.8 ± 6.2
남성,장년층(60-74세),MetS(+),971,66.4 ± 5.4,25.5 ± 2.3,91.6 ± 6.1
여성,청년층(19-39세),MetS(-),2519,33.3 ± 4.6,20.5 ± 2.7,75.0 ± 7.1
여성,청년층(19-39세),MetS(+),76,33.8 ± 4.8,28.8 ± 5.3,94.1 ± 11.5
여성,중년층(40-59세),MetS(-),5629,48.7 ± 5.3,21.1 ± 2.5,77.9 ± 6.9
여성,중년층(40-59세),MetS(+),758,51.6 ± 5.1,25.4 ± 3.5,88.5 ± 7.6
여성,장년층(60-74세),MetS(-),1084,64.8 ± 4.4,21.6 ± 2.5,80.3 ± 6.6
여성,장년층(60-74세),MetS(+),680,67.1 ± 5.7,24.3 ± 3.0,87.6 ± 7.1
