Group,MetS_Status,Hub_Food,Hub_Centrality,Split_Method,Compared_Food,N_Low,N_High,Low_Mean,High_Mean,Difference,P_Value,Significant
Male_Young_MetS(+),MetS(+),Grain Products,0.273,binary,Fried Foods,432,84,1.674,1.893,0.219,0.0122,*
Male_Young_MetS(+),MetS(+),Grain Products,0.273,binary,Processed Foods,432,84,1.787,1.845,0.058,0.3263,ns
Male_Young_MetS(+),MetS(+),Grain Products,0.273,binary,Sugar-Sweetened Beverages,432,84,1.979,1.929,-0.051,0.768,ns
Male_Young_MetS(+),MetS(+),Grain Products,0.273,binary,High Fat Meat,432,84,1.954,2.071,0.118,0.1772,ns
Male_Young_MetS(+),MetS(+),Grain Products,0.273,binary,Vegetables,432,84,2.475,3.036,0.561,0.0,***
Male_Young_MetS(+),MetS(+),Grain Products,0.273,binary,Fruits,432,84,1.5,1.69,0.19,0.0254,*
Male_Young_MetS(+),MetS(+),Grain Products,0.273,binary,Protein Foods,432,84,3.106,3.536,0.429,0.0,***
Male_Young_MetS(+),MetS(+),Protein Foods,0.273,binary,Fried Foods,325,191,1.622,1.859,0.237,0.0009,***
Male_Young_MetS(+),MetS(+),Protein Foods,0.273,binary,Processed Foods,325,191,1.772,1.838,0.065,0.4878,ns
Male_Young_MetS(+),MetS(+),Protein Foods,0.273,binary,Sugar-Sweetened Beverages,325,191,1.985,1.948,-0.037,0.4846,ns
Male_Young_MetS(+),MetS(+),Protein Foods,0.273,binary,High Fat Meat,325,191,1.846,2.188,0.342,0.0,***
Male_Young_MetS(+),MetS(+),Protein Foods,0.273,binary,Vegetables,325,191,2.342,2.948,0.606,0.0,***
Male_Young_MetS(+),MetS(+),Protein Foods,0.273,binary,Fruits,325,191,1.468,1.639,0.171,0.0111,*
Male_Young_MetS(+),MetS(+),Protein Foods,0.273,binary,Grain Products,325,191,1.911,2.162,0.252,0.0,***
Male_Young_MetS(+),MetS(+),Fried Foods,0.273,tertile,Processed Foods,217,61,1.548,2.377,0.829,0.0,***
Male_Young_MetS(+),MetS(+),Fried Foods,0.273,tertile,Sugar-Sweetened Beverages,217,61,1.77,2.279,0.509,0.0001,***
Male_Young_MetS(+),MetS(+),Fried Foods,0.273,tertile,High Fat Meat,217,61,1.733,2.59,0.857,0.0,***
Male_Young_MetS(+),MetS(+),Fried Foods,0.273,tertile,Vegetables,217,61,2.498,2.885,0.388,0.004,**
Male_Young_MetS(+),MetS(+),Fried Foods,0.273,tertile,Fruits,217,61,1.507,1.803,0.296,0.0012,**
Male_Young_MetS(+),MetS(+),Fried Foods,0.273,tertile,Protein Foods,217,61,3.055,3.525,0.469,0.0,***
Male_Young_MetS(+),MetS(+),Fried Foods,0.273,tertile,Grain Products,217,61,1.963,2.115,0.152,0.0719,ns
Male_Middle_MetS(+),MetS(+),Fried Foods,0.364,tertile,Processed Foods,1939,182,1.369,2.099,0.73,0.0,***
Male_Middle_MetS(+),MetS(+),Fried Foods,0.364,tertile,Sugar-Sweetened Beverages,1939,182,1.368,2.005,0.638,0.0,***
Male_Middle_MetS(+),MetS(+),Fried Foods,0.364,tertile,High Fat Meat,1939,182,1.468,2.341,0.872,0.0,***
Male_Middle_MetS(+),MetS(+),Fried Foods,0.364,tertile,Vegetables,1939,182,2.673,3.0,0.327,0.0,***
Male_Middle_MetS(+),MetS(+),Fried Foods,0.364,tertile,Fruits,1939,182,1.891,1.978,0.087,0.1549,ns
Male_Middle_MetS(+),MetS(+),Fried Foods,0.364,tertile,Protein Foods,1939,182,2.933,3.401,0.468,0.0,***
Male_Middle_MetS(+),MetS(+),Fried Foods,0.364,tertile,Grain Products,1939,182,2.075,2.264,0.188,0.0005,***
Male_Middle_MetS(+),MetS(+),Processed Foods,0.364,tertile,Fried Foods,1689,228,1.24,1.851,0.61,0.0,***
Male_Middle_MetS(+),MetS(+),Processed Foods,0.364,tertile,Sugar-Sweetened Beverages,1689,228,1.314,2.215,0.901,0.0,***
Male_Middle_MetS(+),MetS(+),Processed Foods,0.364,tertile,High Fat Meat,1689,228,1.485,2.066,0.58,0.0,***
Male_Middle_MetS(+),MetS(+),Processed Foods,0.364,tertile,Vegetables,1689,228,2.77,2.754,-0.016,0.9028,ns
Male_Middle_MetS(+),MetS(+),Processed Foods,0.364,tertile,Fruits,1689,228,1.955,1.864,-0.091,0.0842,ns
Male_Middle_MetS(+),MetS(+),Processed Foods,0.364,tertile,Protein Foods,1689,228,3.005,3.206,0.201,0.0002,***
Male_Middle_MetS(+),MetS(+),Processed Foods,0.364,tertile,Grain Products,1689,228,2.098,2.211,0.113,0.024,*
Male_Middle_MetS(+),MetS(+),Protein Foods,0.273,binary,Fried Foods,2111,827,1.348,1.559,0.21,0.0,***
Male_Middle_MetS(+),MetS(+),Protein Foods,0.273,binary,Processed Foods,2111,827,1.491,1.559,0.068,0.0558,ns
Male_Middle_MetS(+),MetS(+),Protein Foods,0.273,binary,Sugar-Sweetened Beverages,2111,827,1.465,1.559,0.093,0.0174,*
Male_Middle_MetS(+),MetS(+),Protein Foods,0.273,binary,High Fat Meat,2111,827,1.55,1.82,0.27,0.0,***
Male_Middle_MetS(+),MetS(+),Protein Foods,0.273,binary,Vegetables,2111,827,2.541,3.214,0.674,0.0,***
Male_Middle_MetS(+),MetS(+),Protein Foods,0.273,binary,Fruits,2111,827,1.87,2.015,0.144,0.0,***
Male_Middle_MetS(+),MetS(+),Protein Foods,0.273,binary,Grain Products,2111,827,1.972,2.399,0.427,0.0,***
Male_Older_MetS(+),MetS(+),Processed Foods,0.364,binary,Fried Foods,768,203,1.152,1.547,0.394,0.0,***
Male_Older_MetS(+),MetS(+),Processed Foods,0.364,binary,Sugar-Sweetened Beverages,768,203,1.184,1.616,0.432,0.0,***
Male_Older_MetS(+),MetS(+),Processed Foods,0.364,binary,High Fat Meat,768,203,1.315,1.621,0.306,0.0,***
Male_Older_MetS(+),MetS(+),Processed Foods,0.364,binary,Vegetables,768,203,2.802,2.645,-0.157,0.0176,*
Male_Older_MetS(+),MetS(+),Processed Foods,0.364,binary,Fruits,768,203,2.408,2.281,-0.127,0.0217,*
Male_Older_MetS(+),MetS(+),Processed Foods,0.364,binary,Protein Foods,768,203,2.986,2.911,-0.074,0.235,ns
Male_Older_MetS(+),MetS(+),Processed Foods,0.364,binary,Grain Products,768,203,2.243,2.202,-0.042,0.3342,ns
Male_Older_MetS(+),MetS(+),Protein Foods,0.273,binary,Fried Foods,723,248,1.22,1.278,0.058,0.1322,ns
Male_Older_MetS(+),MetS(+),Protein Foods,0.273,binary,Processed Foods,723,248,1.253,1.238,-0.015,0.5449,ns
Male_Older_MetS(+),MetS(+),Protein Foods,0.273,binary,Sugar-Sweetened Beverages,723,248,1.27,1.286,0.017,0.7631,ns
