Group,Hub_Food,Hub_Centrality,Health_Indicator,N_Low,N_High,Low_Mean,High_Mean,Difference,P_Value,Significant,Direction
Male_Young_MetS(-),Fried Foods,0.364,BMI(kg/m2),3271,1466,23.82,24.09,0.27,0.0043,**,Risk
Male_Young_MetS(-),Fried Foods,0.364,Waist circumference (cm),3271,1466,85.75,86.87,1.12,0.0000,***,Risk
Male_Young_MetS(-),Fried Foods,0.364,Systolic blood pressure (mmHg),3271,1466,117.43,117.78,0.34,0.1601,ns,No association
Male_Young_MetS(-),Fried Foods,0.364,Diastolic Blood Pressure (mmHg),3271,1466,78.00,77.98,-0.02,0.9643,ns,No association
Male_Young_MetS(-),Fried Foods,0.364,Fasting glucose (mg/dL),3271,1466,98.89,98.12,-0.77,0.2723,ns,No association
Male_Young_MetS(-),Fried Foods,0.364,Triglycerides (mg/dL),3271,1466,106.97,108.19,1.22,0.8382,ns,No association
Male_Young_MetS(-),Fried Foods,0.364,HDL-C (mg/dL),3271,1466,52.11,51.60,-0.51,0.0960,ns,No association
Male_Young_MetS(-),Fried Foods,0.364,N_Risk_Factors,3271,1466,1.01,1.04,0.03,0.2128,ns,No association
Male_Young_MetS(-),Processed Foods,0.364,BMI(kg/m2),3033,287,23.80,24.00,0.20,0.1062,ns,No association
Male_Young_MetS(-),Processed Foods,0.364,Waist circumference (cm),3033,287,85.73,86.47,0.74,0.0132,*,Risk
Male_Young_MetS(-),Processed Foods,0.364,Systolic blood pressure (mmHg),3033,287,117.47,117.14,-0.33,0.9105,ns,No association
Male_Young_MetS(-),Processed Foods,0.364,Diastolic Blood Pressure (mmHg),3033,287,77.93,77.14,-0.79,0.1332,ns,No association
Male_Young_MetS(-),Processed Foods,0.364,Fasting glucose (mg/dL),3033,287,98.97,97.09,-1.88,0.0979,ns,No association
Male_Young_MetS(-),Processed Foods,0.364,Triglycerides (mg/dL),3033,287,103.99,114.99,11.00,0.0331,*,Risk
Male_Young_MetS(-),Processed Foods,0.364,HDL-C (mg/dL),3033,287,52.26,50.59,-1.67,0.0081,**,Risk
Male_Young_MetS(-),Processed Foods,0.364,N_Risk_Factors,3033,287,1.00,1.01,0.01,0.7976,ns,No association
Male_Young_MetS(-),Vegetables,0.273,BMI(kg/m2),1607,973,23.93,23.78,-0.15,0.0508,ns,No association
Male_Young_MetS(-),Vegetables,0.273,Waist circumference (cm),1607,973,86.21,85.52,-0.70,0.0078,**,Protective
