Group,Hub_Food,N_Significant_Associations,N_Risk_Indicators,N_Protective_Indicators,Classification
Male_Young_MetS(-),Fried Foods,2,2,0,Risk Factor
Male_Young_MetS(-),Processed Foods,3,3,0,Risk Factor
Male_Young_MetS(-),Vegetables,4,0,4,Protective Factor
Male_Middle_MetS(-),Processed Foods,3,3,0,Risk Factor
Male_Middle_MetS(-),Vegetables,1,0,1,Protective Factor
Male_Older_MetS(-),High Fat Meat,1,0,1,Protective Factor
Male_Older_MetS(-),Processed Foods,1,0,1,Protective Factor
Male_Older_MetS(-),Protein Foods,2,0,2,Protective Factor
Female_Young_MetS(-),Fried Foods,1,1,0,Risk Factor
Female_Young_MetS(-),Sugar-Sweetened Beverages,3,3,0,Risk Factor
Female_Middle_MetS(-),Processed Foods,2,0,2,Protective Factor
Female_Middle_MetS(-),Sugar-Sweetened Beverages,1,0,1,Protective Factor
Female_Middle_MetS(-),Fried Foods,2,2,0,Risk Factor
Female_Older_MetS(-),Sugar-Sweetened Beverages,1,1,0,Risk Factor
Female_Older_MetS(-),High Fat Meat,2,2,0,Risk Factor
