Group,Hub_Food,Hub_Centrality,Severity_Indicator,N_Low,N_High,Low_Mean,High_Mean,Difference,P_Value,Significant,Direction
Male_Young_MetS(+),Grain Products,0.273,BMI(kg/m2),432,84,28.55,28.15,-0.40,0.3095,ns,No association
Male_Young_MetS(+),Grain Products,0.273,Waist circumference (cm),432,84,97.78,97.24,-0.54,0.6045,ns,No association
Male_Young_MetS(+),Grain Products,0.273,Systolic blood pressure (mmHg),432,84,128.90,128.23,-0.68,0.9939,ns,No association
Male_Young_MetS(+),Grain Products,0.273,Diastolic Blood Pressure (mmHg),432,84,84.22,83.01,-1.21,0.3483,ns,No association
Male_Young_MetS(+),Grain Products,0.273,Fasting glucose (mg/dL),432,84,104.91,105.58,0.68,0.0598,ns,No association
Male_Young_MetS(+),Grain Products,0.273,Triglycerides (mg/dL),432,84,198.35,241.74,43.39,0.0119,*,Aggravating
Male_Young_MetS(+),Grain Products,0.273,HDL-C (mg/dL),432,84,42.60,40.36,-2.24,0.0193,*,Aggravating
Male_Young_MetS(+),Grain Products,0.273,N_MetS_Components,432,84,3.42,3.45,0.03,0.7320,ns,No association
Male_Young_MetS(+),Fried Foods,0.273,BMI(kg/m2),217,61,28.14,29.17,1.03,0.1578,ns,No association
Male_Young_MetS(+),Fried Foods,0.273,Waist circumference (cm),217,61,97.00,98.97,1.96,0.2131,ns,No association
Male_Young_MetS(+),Fried Foods,0.273,Systolic blood pressure (mmHg),217,61,128.61,127.72,-0.89,0.5511,ns,No association
Male_Young_MetS(+),Fried Foods,0.273,Diastolic Blood Pressure (mmHg),217,61,84.08,82.72,-1.36,0.1656,ns,No association
Male_Young_MetS(+),Fried Foods,0.273,Fasting glucose (mg/dL),217,61,104.68,111.79,7.11,0.6122,ns,No association
Male_Young_MetS(+),Fried Foods,0.273,Triglycerides (mg/dL),217,61,203.46,225.28,21.82,0.5604,ns,No association
Male_Young_MetS(+),Fried Foods,0.273,HDL-C (mg/dL),217,61,43.35,41.07,-2.28,0.1537,ns,No association
Male_Young_MetS(+),Fried Foods,0.273,N_MetS_Components,217,61,3.39,3.43,0.04,0.6709,ns,No association
Male_Middle_MetS(+),Fried Foods,0.364,BMI(kg/m2),1939,182,26.50,27.51,1.01,0.0003,***,Aggravating
Male_Middle_MetS(+),Fried Foods,0.364,Waist circumference (cm),1939,182,93.14,96.07,2.93,0.0000,***,Aggravating
Male_Middle_MetS(+),Fried Foods,0.364,Systolic blood pressure (mmHg),1939,182,124.95,124.56,-0.39,0.7291,ns,No association
Male_Middle_MetS(+),Fried Foods,0.364,Diastolic Blood Pressure (mmHg),1939,182,83.83,82.24,-1.59,0.0392,*,Alleviating
Male_Middle_MetS(+),Fried Foods,0.364,Fasting glucose (mg/dL),1939,182,113.99,109.18,-4.82,0.0000,***,Alleviating
Male_Middle_MetS(+),Fried Foods,0.364,Triglycerides (mg/dL),1939,182,178.39,185.89,7.50,0.3503,ns,No association
Male_Middle_MetS(+),Fried Foods,0.364,HDL-C (mg/dL),1939,182,45.11,44.85,-0.26,0.6910,ns,No association
Male_Middle_MetS(+),Fried Foods,0.364,N_MetS_Components,1939,182,3.06,3.01,-0.05,0.5469,ns,No association
Male_Middle_MetS(+),Processed Foods,0.364,BMI(kg/m2),1689,228,26.47,27.44,0.97,0.0000,***,Aggravating
Male_Middle_MetS(+),Processed Foods,0.364,Waist circumference (cm),1689,228,93.10,95.65,2.55,0.0000,***,Aggravating
Male_Middle_MetS(+),Processed Foods,0.364,Systolic blood pressure (mmHg),1689,228,124.97,124.43,-0.54,0.4198,ns,No association
Male_Middle_MetS(+),Processed Foods,0.364,Diastolic Blood Pressure (mmHg),1689,228,83.76,83.50,-0.25,0.5022,ns,No association
Male_Middle_MetS(+),Processed Foods,0.364,Fasting glucose (mg/dL),1689,228,113.17,114.31,1.14,0.0582,ns,No association
Male_Middle_MetS(+),Processed Foods,0.364,Triglycerides (mg/dL),1689,228,174.10,199.05,24.95,0.0001,***,Aggravating
Male_Middle_MetS(+),Processed Foods,0.364,HDL-C (mg/dL),1689,228,45.32,44.32,-1.00,0.0518,ns,No association
Male_Middle_MetS(+),Processed Foods,0.364,N_MetS_Components,1689,228,3.04,3.14,0.10,0.0575,ns,No association
Male_Middle_MetS(+),Protein Foods,0.273,BMI(kg/m2),2111,827,26.65,27.08,0.43,0.0002,***,Aggravating
